date_and_time,lat,lon,speed
18-07-27 11:24:46.600,12.35828012,76.59615631,3
18-07-27 11:24:46.800,12.35828052,76.59615733,2
18-07-27 11:24:47.000,12.35828088,76.5961582,2
18-07-27 11:24:47.200,12.35828125,76.59615925,2
18-07-27 11:24:47.400,12.35828171,76.59616066,2
18-07-27 11:24:47.600,12.35827886,76.59616097,1
18-07-27 11:24:47.800,12.35827911,76.59616185,2
18-07-27 11:24:48.000,12.35827911,76.59616308,3
18-07-27 11:24:48.200,12.35827884,76.59616421,2
18-07-27 11:24:48.400,12.35827862,76.59616516,2
18-07-27 11:24:48.600,12.3582785,76.59616584,1
18-07-27 11:24:48.800,12.3582785,76.59616637,1
18-07-27 11:24:49.000,12.35827855,76.59616675,1
18-07-27 11:24:49.200,12.3582786,76.59616716,1
18-07-27 11:24:49.400,12.35827857,76.59616757,1
18-07-27 11:24:49.600,12.35827844,76.59616778,0
18-07-27 11:24:49.800,12.35828232,76.59616796,1
18-07-27 11:24:50.000,12.35828286,76.59616806,1
18-07-27 11:24:50.200,12.35828334,76.59616821,1
18-07-27 11:24:50.400,12.35828383,76.59616834,1
18-07-27 11:24:50.600,12.358284,76.59616835,1
18-07-27 11:24:50.800,12.35828382,76.59616847,1
18-07-27 11:24:51.000,12.35828354,76.59616829,1
18-07-27 11:24:51.200,12.35828329,76.59616805,1
18-07-27 11:24:51.400,12.3582833,76.59616785,0
18-07-27 11:24:51.600,12.35828369,76.59616756,1
18-07-27 11:24:51.800,12.35828405,76.59616712,2
18-07-27 11:24:52.000,12.35828429,76.59616676,1
18-07-27 11:24:52.200,12.35828443,76.59616668,0
18-07-27 11:24:52.400,12.35828466,76.5961665,0
18-07-27 11:24:52.600,12.35828451,76.59616624,1
18-07-27 11:24:52.800,12.3582844,76.5961661,1
18-07-27 11:24:53.000,12.35828438,76.5961661,0
18-07-27 11:24:53.200,12.35828441,76.59616615,0
18-07-27 11:24:53.400,12.35828444,76.59616622,0
18-07-27 11:24:53.600,12.35828459,76.59616629,0
18-07-27 11:24:53.800,12.35828456,76.59616634,0
18-07-27 11:24:54.000,12.35828445,76.59616632,0
18-07-27 11:24:54.200,12.35828439,76.59616635,0
18-07-27 11:24:54.400,12.35828438,76.59616638,0
18-07-27 11:24:54.600,12.35828442,76.59616637,0
18-07-27 11:24:54.800,12.35828454,76.59616616,1
18-07-27 11:24:55.000,12.35828444,76.59616605,0
18-07-27 11:24:55.200,12.35828428,76.59616599,1
18-07-27 11:24:55.400,12.35828405,76.59616589,1
18-07-27 11:24:55.600,12.35828428,76.59616587,1
18-07-27 11:24:55.800,12.35828436,76.59616579,1
18-07-27 11:24:56.000,12.35828415,76.59616559,1
18-07-27 11:24:56.200,12.35828425,76.59616533,1
18-07-27 11:24:56.400,12.35828459,76.59616516,1
18-07-27 11:24:56.600,12.35828487,76.59616514,1
18-07-27 11:24:56.800,12.35828488,76.5961652,0
18-07-27 11:24:57.000,12.35828473,76.59616528,1
18-07-27 11:24:57.200,12.35828461,76.59616533,0
18-07-27 11:24:57.400,12.35828463,76.59616531,0
18-07-27 11:24:57.600,12.35828458,76.59616532,0
18-07-27 11:24:57.800,12.35828451,76.59616525,0
